horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,adaptive_neyman,300,2.6522229518810575e-05,2.0872742382773824e-06,0.002793310564625661,0.091543123158706
2,0.1,50,0,answer_entropy,300,0.00037164190846566346,6.686561440307535e-05,0.0009518175565105598,1.2827451392606188
2,0.1,50,0,mc_ucb_frozen,300,0.0003890241047051071,6.0746384021300935e-05,0.00024891088033560213,1.3427408696341772
2,0.1,50,0,mean_influence,300,9.107167752496796e-06,7.858935608758426e-07,3.054150919413893e-05,0.03143395537703642
2,0.1,50,0,occupancy,300,9.33009781216324e-06,7.708521830324512e-07,8.011168451208417e-05,0.03220341232986722
2,0.1,50,0,oracle_tail,300,8.372308399395086e-06,7.484082253906774e-07,-1.665049726337927e-05,0.028897542658882187
2,0.1,50,0,tis,300,9.251469152272353e-05,3.438509651165495e-05,0.0002576971967513568,0.319320206246152
2,0.1,50,0,uniform,300,0.0002897238875369115,3.990473248274253e-05,0.000777133080401401,1.0
2,0.1,50,0,untied_tis,300,0.00015748052151749818,5.518573273409316e-05,-0.000825927246078401,0.5435538051636657
2,0.1,50,1,adaptive_neyman,300,0.0003625191873224648,5.801244248464107e-05,0.0011277221123540907,0.6399062070636405
2,0.1,50,1,answer_entropy,300,0.0011104091979391413,0.00012896456091041297,0.01198114043434795,1.960055530825645
2,0.1,50,1,mc_ucb_frozen,300,0.000752272539070962,0.00010515646517670383,0.007587901780257861,1.3278852099125926
2,0.1,50,1,mean_influence,300,2.26763794224591e-05,1.7740139416906155e-06,0.00014414539547678528,0.04002755289543975
2,0.1,50,1,occupancy,300,3.6395782352049145e-05,2.675944691116343e-06,-0.0002703281401136603,0.06424456374304112
2,0.1,50,1,oracle_tail,300,1.9910574692717833e-05,1.6055860994422908e-06,6.300040086152842e-05,0.03514545099302898
2,0.1,50,1,tis,300,0.0003706457347283021,4.992694321988883e-05,0.003631075669238794,0.6542509046930285
2,0.1,50,1,uniform,300,0.0005665192544169386,5.807557717090324e-05,0.006592171008257827,1.0
2,0.1,50,1,untied_tis,300,0.0005228504919286757,8.52399931903154e-05,0.006727432719290552,0.9229174257577409
2,0.1,50,2,adaptive_neyman,300,0.0014523771103203337,0.0003160745761213809,0.0139433847138742,0.13781219060321945
2,0.1,50,2,answer_entropy,300,0.04115176714545901,0.002607930731130755,0.11948729081354521,3.904781435352192
2,0.1,50,2,mc_ucb_frozen,300,0.015891085708613653,0.0018636946966326508,0.014813089580600342,1.5078627424006579
2,0.1,50,2,mean_influence,300,0.00033764386350037856,2.52353981641317e-05,0.0005270986221926011,0.03203812573337698
2,0.1,50,2,occupancy,300,0.0004178631960438805,3.310269511654508e-05,-4.411441867138155e-05,0.039649924258699246
2,0.1,50,2,oracle_tail,300,0.0003428308643685275,2.5625967927899686e-05,0.000577474268887949,0.032530306412362445
2,0.1,50,2,tis,300,0.0037634251448732106,0.0009421092626215396,0.008362995357513118,0.35710137518748425
2,0.1,50,2,uniform,300,0.010538814483414826,0.0010419882100232635,0.017401405377945642,1.0
2,0.1,50,2,untied_tis,300,0.0036521373056566924,0.0005223169438000597,0.008987476467736245,0.3465415689216415
2,0.1,50,3,adaptive_neyman,300,0.0018734115959582365,0.0001327432547807433,0.029730976125369166,0.7698211450193296
2,0.1,50,3,answer_entropy,300,0.01724623209484837,0.0012674962039756043,0.0203276948670593,7.0868111242444
2,0.1,50,3,mc_ucb_frozen,300,0.0043232601839903175,0.00042560131708964686,0.0023836165616335616,1.7765114255917618
2,0.1,50,3,mean_influence,300,0.00013494805233632513,1.1757164855429959e-05,-0.001001820743235997,0.055452770972382805
2,0.1,50,3,occupancy,300,0.00013814449684069016,1.1349538414702573e-05,-0.00027129885508999935,0.05676625198939466
2,0.1,50,3,oracle_tail,300,0.00011861781638096231,9.870485605723771e-06,-0.0008725631652013455,0.048742360420470386
2,0.1,50,3,tis,300,0.005810128248979818,0.0014880603562421994,-0.003504239981503998,2.3874943397321142
2,0.1,50,3,uniform,300,0.0024335673397373313,0.000220649971443478,0.00040903717428035334,1.0
2,0.1,50,3,untied_tis,300,0.006408713298487422,0.0015326998242797514,-0.0036153926193166976,2.633464541473979
2,0.1,50,4,adaptive_neyman,300,8.282448165229997e-06,4.376940059419388e-06,0.00032661537782448154,3.309998708906151
2,0.1,50,4,answer_entropy,300,6.764893423910533e-07,5.304638660631424e-07,6.778141223804018e-05,0.27035229261117594
2,0.1,50,4,mc_ucb_frozen,300,6.438049124668214e-06,6.42731008612486e-06,0.00014649287951601624,2.572902826000892
